Time,ProxyName,TxnID,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,url,uri,q
Dec 01 2015 22:37:42,proxy-mpgw,91538,0,1429,0,11,11,7,0,1429,1438,1429,1438,1438,1433,1429,11,1429,http://192.168.152.24:8082,/request5,?t=1416
Dec 01 2015 22:37:42,proxy-mpgw,86243,0,1741,0,6,6,3,0,1741,1755,1741,1755,1755,1750,1741,6,1741,http://192.168.152.24:8082,/request1,?t=1731
Dec 01 2015 22:37:43,proxy-mpgw,91602,0,473,0,0,0,0,0,473,489,473,489,489,483,473,0,473,http://192.168.152.24:8082,/request3,?t=471
Dec 01 2015 22:37:43,proxy-mpgw,86307,0,83,0,10,10,6,0,83,97,83,97,97,90,83,10,83,http://192.168.152.24:8082,/request3,?t=68
Dec 01 2015 22:37:43,proxy-mpgw,86259,0,1383,0,9,9,4,0,1383,1398,1383,1398,1398,1392,1383,9,1383,http://192.168.152.24:8082,/request2,?t=1372
Dec 01 2015 22:37:43,proxy-mpgw,91586,0,1390,0,1,1,0,0,1390,1391,1390,1391,1391,0,1390,1,1390,http://192.168.152.24:8082,/request1,?t=1386
Dec 01 2015 22:37:43,proxy-mpgw,86291,0,953,0,14,14,9,0,953,966,953,966,967,962,953,14,953,http://192.168.152.24:8082,/request2,?t=938
Dec 01 2015 22:37:44,proxy-mpgw,86339,0,872,0,9,9,5,0,872,885,872,885,885,880,872,9,872,http://192.168.152.24:8082,/request5,?t=859
Dec 01 2015 22:37:44,proxy-mpgw,86403,0,566,0,13,13,9,0,566,580,566,580,580,574,566,13,566,http://192.168.152.24:8082,/request5,?t=550
Dec 01 2015 22:37:44,proxy-mpgw,91618,0,159,0,15,15,10,0,159,174,160,174,174,168,160,15,159,http://192.168.152.24:8082,/request1,?t=143
Dec 01 2015 22:37:44,proxy-mpgw,86387,0,1428,0,1,1,0,0,1428,1429,1428,1429,1429,0,1428,1,1428,http://192.168.152.24:8082,/request4,?t=1424
Dec 01 2015 22:37:45,proxy-mpgw,86371,0,1627,0,0,0,0,0,1627,1627,1627,1627,1628,0,1627,0,1627,http://192.168.152.24:8082,/request3,?t=1624
Dec 01 2015 22:37:45,proxy-mpgw,86355,0,1799,0,10,10,5,0,1799,1813,1799,1813,1813,1808,1799,10,1799,http://192.168.152.24:8082,/request4,?t=1786
Dec 01 2015 22:37:45,proxy-mpgw,86419,0,1083,0,15,15,9,0,1083,1097,1083,1097,1097,1092,1083,15,1083,http://192.168.152.24:8082,/request2,?t=1066
Dec 01 2015 22:37:45,proxy-mpgw,91714,0,247,0,0,0,0,0,247,247,247,247,247,0,247,0,247,http://192.168.152.24:8082,/request2,?t=243
Dec 01 2015 22:37:45,proxy-mpgw,91650,0,822,0,14,14,9,0,822,833,822,833,833,829,822,14,822,http://192.168.152.24:8082,/request5,?t=805
Dec 01 2015 22:37:45,proxy-mpgw,91682,0,544,0,9,9,5,0,544,554,544,554,554,549,544,9,544,http://192.168.152.24:8082,/request4,?t=533
Dec 01 2015 22:37:46,proxy-mpgw,91762,0,861,0,11,11,7,0,861,875,861,875,876,870,861,11,861,http://192.168.152.24:8082,/request3,?t=847
Dec 01 2015 22:37:46,proxy-mpgw,91906,0,438,0,10,10,6,0,438,452,438,452,453,447,439,10,438,http://192.168.152.24:8082,/request1,?t=425
Dec 01 2015 22:37:46,proxy-mpgw,86467,0,1905,0,0,0,0,0,1905,1919,1905,1919,1920,1914,1905,0,1905,http://192.168.152.24:8082,/request1,?t=1902
Dec 01 2015 22:37:47,proxy-mpgw,86659,0,65,0,7,7,4,0,65,71,65,71,72,68,65,7,65,http://192.168.152.24:8082,/request3,?t=56
Dec 01 2015 22:37:47,proxy-mpgw,91842,0,1290,0,16,16,10,0,1290,1300,1290,1300,1300,1295,1290,16,1290,http://192.168.152.24:8082,/request1,?t=1267
Dec 01 2015 22:37:47,proxy-mpgw,86691,0,101,0,14,14,9,0,101,110,101,110,110,107,101,14,101,http://192.168.152.24:8082,/request1,?t=84
Dec 01 2015 22:37:47,proxy-mpgw,86579,0,1796,0,14,14,9,0,1796,1810,1797,1810,1811,1806,1797,14,1796,http://192.168.152.24:8082,/request5,?t=1780
Dec 01 2015 22:37:48,proxy-mpgw,86675,0,1026,0,11,11,5,0,1026,1040,1026,1040,1040,1035,1026,11,1026,http://192.168.152.24:8082,/request5,?t=1012
Dec 01 2015 22:37:48,proxy-mpgw,86723,0,394,0,15,15,10,0,394,407,394,407,407,402,394,15,394,http://192.168.152.24:8082,/request3,?t=377
Dec 01 2015 22:37:48,proxy-mpgw,86707,0,955,0,14,14,10,0,955,968,955,968,968,963,955,14,955,http://192.168.152.24:8082,/request2,?t=938
Dec 01 2015 22:37:48,proxy-mpgw,86739,0,251,0,14,14,9,0,251,258,251,258,258,255,251,14,251,http://192.168.152.24:8082,/request4,?t=234
Dec 01 2015 22:37:49,proxy-mpgw,86755,0,1117,0,10,10,7,0,1117,1129,1117,1129,1130,1124,1117,10,1117,http://192.168.152.24:8082,/request1,?t=1104
Dec 02 2015 07:03:09,proxy-mpgw,87459,0,1991,0,12,12,8,0,1991,2008,1991,2008,2008,2003,1991,12,1991,http://192.168.152.24:8082,/request1,?t=1976
Dec 02 2015 07:03:09,proxy-mpgw,87491,0,1346,0,7,7,4,0,1346,1358,1346,1358,1359,1354,1346,7,1346,http://192.168.152.24:8082,/request3,?t=1337
Dec 02 2015 07:03:10,proxy-mpgw,92706,0,935,0,14,14,8,0,935,947,935,947,947,941,935,14,935,http://192.168.152.24:8082,/request4,?t=919
Dec 02 2015 07:03:10,proxy-mpgw,87507,0,1380,0,25,25,20,0,1380,1392,1380,1392,1392,1387,1380,25,1380,http://192.168.152.24:8082,/request2,?t=1353
Dec 02 2015 07:03:11,proxy-mpgw,87571,0,1515,0,16,16,11,0,1515,1528,1515,1528,1528,1523,1515,16,1515,http://192.168.152.24:8082,/request5,?t=1496
Dec 02 2015 07:03:11,proxy-mpgw,87699,0,659,0,14,14,9,0,659,666,659,666,667,663,660,14,659,http://192.168.152.24:8082,/request4,?t=642
Dec 02 2015 07:03:11,proxy-mpgw,87747,0,577,0,1,1,0,0,578,578,578,578,578,0,578,1,577,http://192.168.152.24:8082,/request3,?t=570
Dec 02 2015 07:03:12,proxy-mpgw,92770,0,1612,0,1,1,0,0,1612,1612,1612,1612,1612,0,1612,1,1612,http://192.168.152.24:8082,/request4,?t=1609
Dec 02 2015 07:03:12,proxy-mpgw,92786,0,1649,0,9,9,5,0,1649,1666,1649,1666,1666,1660,1649,9,1649,http://192.168.152.24:8082,/request4,?t=1638
Dec 02 2015 07:03:12,proxy-mpgw,92834,0,990,0,17,17,9,0,990,1000,990,1000,1001,996,990,17,990,http://192.168.152.24:8082,/request3,?t=970
Dec 02 2015 07:03:12,proxy-mpgw,87843,0,159,0,12,12,7,0,159,174,159,174,174,169,159,12,159,http://192.168.152.24:8082,/request5,?t=143
Dec 02 2015 07:03:12,proxy-mpgw,87779,0,1193,0,10,10,6,0,1193,1206,1193,1206,1207,1202,1193,10,1193,http://192.168.152.24:8082,/request2,?t=1181
Dec 02 2015 07:03:13,proxy-mpgw,87827,0,751,0,11,11,6,0,752,767,752,767,767,760,752,11,751,http://192.168.152.24:8082,/request4,?t=738
Dec 02 2015 07:03:13,proxy-mpgw,87875,0,220,0,14,14,9,0,220,233,220,233,233,228,220,14,220,http://192.168.152.24:8082,/request4,?t=203
